piece,key,part,pitch_class,pitch_name,pitch_midi,degree
bwv10.7.mxl,g,Soprano,2,D5,74,5.0
bwv10.7.mxl,g,Soprano,5,F5,77,7.0
bwv10.7.mxl,g,Soprano,2,D5,74,5.0
bwv10.7.mxl,g,Soprano,2,D5,74,5.0
bwv10.7.mxl,g,Soprano,2,D5,74,5.0
bwv10.7.mxl,g,Soprano,2,D5,74,5.0
bwv10.7.mxl,g,Soprano,3,E-5,75,6.0
bwv10.7.mxl,g,Soprano,2,D5,74,5.0
bwv10.7.mxl,g,Soprano,0,C5,72,4.0
bwv10.7.mxl,g,Soprano,0,C5,72,4.0
bwv10.7.mxl,g,Soprano,10,B-4,70,3.0
bwv10.7.mxl,g,Soprano,2,D5,74,5.0
bwv10.7.mxl,g,Soprano,5,F5,77,7.0
bwv10.7.mxl,g,Soprano,0,C5,72,4.0
bwv10.7.mxl,g,Soprano,0,C5,72,4.0
bwv10.7.mxl,g,Soprano,0,C5,72,4.0
bwv10.7.mxl,g,Soprano,7,G4,67,1.0
bwv10.7.mxl,g,Soprano,10,B-4,70,3.0
bwv10.7.mxl,g,Soprano,9,A4,69,2.0
bwv10.7.mxl,g,Soprano,7,G4,67,1.0
bwv10.7.mxl,g,Soprano,2,D5,74,5.0
bwv10.7.mxl,g,Soprano,5,F5,77,7.0
bwv10.7.mxl,g,Soprano,2,D5,74,5.0
bwv10.7.mxl,g,Soprano,2,D5,74,5.0
bwv10.7.mxl,g,Soprano,2,D5,74,5.0
bwv10.7.mxl,g,Soprano,2,D5,74,5.0
bwv10.7.mxl,g,Soprano,3,E-5,75,6.0
bwv10.7.mxl,g,Soprano,2,D5,74,5.0
bwv10.7.mxl,g,Soprano,0,C5,72,4.0
bwv10.7.mxl,g,Soprano,0,C5,72,4.0
bwv10.7.mxl,g,Soprano,10,B-4,70,3.0
bwv10.7.mxl,g,Soprano,2,D5,74,5.0
bwv10.7.mxl,g,Soprano,5,F5,77,7.0
bwv10.7.mxl,g,Soprano,0,C5,72,4.0
bwv10.7.mxl,g,Soprano,0,C5,72,4.0
bwv10.7.mxl,g,Soprano,0,C5,72,4.0
bwv10.7.mxl,g,Soprano,0,C5,72,4.0
bwv10.7.mxl,g,Soprano,0,C5,72,4.0
bwv10.7.mxl,g,Soprano,7,G4,67,1.0
bwv10.7.mxl,g,Soprano,9,A4,69,2.0
bwv10.7.mxl,g,Soprano,10,B-4,70,3.0
bwv10.7.mxl,g,Soprano,9,A4,69,2.0
bwv10.7.mxl,g,Soprano,7,G4,67,1.0
bwv10.7.mxl,g,Soprano,7,G4,67,1.0
bwv10.7.mxl,g,Soprano,7,G4,67,1.0
bwv10.7.mxl,g,Soprano,7,G4,67,1.0
bwv10.7.mxl,g,Alto,7,G4,67,1.0
