piece,key,major,relative,sharps,scale,has_D#,has_D,D#_degree,D_degree
bwv10.7.mxl,g,0,B-,-2,"['G', 'A', 'B-', 'C', 'D', 'E-', 'F', 'G']",True,True,6.0,5.0
bwv101.7.mxl,d,0,F,-1,"['D', 'E', 'F', 'G', 'A', 'B-', 'C', 'D']",False,True,,1.0
bwv102.7.mxl,c,0,E-,-3,"['C', 'D', 'E-', 'F', 'G', 'A-', 'B-', 'C']",True,True,3.0,2.0
bwv103.6.mxl,b,0,D,2,"['B', 'C#', 'D', 'E', 'F#', 'G', 'A', 'B']",False,True,,3.0
bwv104.6.mxl,A,1,f#,3,"['A', 'B', 'C#', 'D', 'E', 'F#', 'G#', 'A']",False,True,,4.0
bwv108.6.mxl,b,0,D,2,"['B', 'C#', 'D', 'E', 'F#', 'G', 'A', 'B']",False,True,,3.0
bwv11.6.mxl,D,1,b,2,"['D', 'E', 'F#', 'G', 'A', 'B', 'C#', 'D']",False,True,,1.0
bwv110.7.mxl,b,0,D,2,"['B', 'C#', 'D', 'E', 'F#', 'G', 'A', 'B']",False,True,,3.0
bwv113.8.mxl,b,0,D,2,"['B', 'C#', 'D', 'E', 'F#', 'G', 'A', 'B']",False,True,,3.0
bwv114.7.mxl,g,0,B-,-2,"['G', 'A', 'B-', 'C', 'D', 'E-', 'F', 'G']",True,True,6.0,5.0
bwv115.6.mxl,G,1,e,1,"['G', 'A', 'B', 'C', 'D', 'E', 'F#', 'G']",False,True,,5.0
bwv117.4.mxl,G,1,e,1,"['G', 'A', 'B', 'C', 'D', 'E', 'F#', 'G']",False,True,,5.0
bwv121.6.mxl,b,0,D,2,"['B', 'C#', 'D', 'E', 'F#', 'G', 'A', 'B']",False,True,,3.0
bwv122.6.mxl,g,0,B-,-2,"['G', 'A', 'B-', 'C', 'D', 'E-', 'F', 'G']",True,True,6.0,5.0
bwv123.6.mxl,b,0,D,2,"['B', 'C#', 'D', 'E', 'F#', 'G', 'A', 'B']",False,True,,3.0
bwv126.6.mxl,a,0,C,0,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'A']",False,True,,4.0
bwv127.5.mxl,F,1,d,-1,"['F', 'G', 'A', 'B-', 'C', 'D', 'E', 'F']",False,True,,6.0
bwv13.6.mxl,B-,1,g,-2,"['B-', 'C', 'D', 'E-', 'F', 'G', 'A', 'B-']",True,True,4.0,3.0
bwv133.6.mxl,D,1,b,2,"['D', 'E', 'F#', 'G', 'A', 'B', 'C#', 'D']",False,True,,1.0
bwv14.5.mxl,g,0,B-,-2,"['G', 'A', 'B-', 'C', 'D', 'E-', 'F', 'G']",True,True,6.0,5.0
bwv140.7.mxl,E-,1,c,-3,"['E-', 'F', 'G', 'A-', 'B-', 'C', 'D', 'E-']",True,True,1.0,7.0
bwv144.3.mxl,G,1,e,1,"['G', 'A', 'B', 'C', 'D', 'E', 'F#', 'G']",False,True,,5.0
bwv144.6.mxl,b,0,D,2,"['B', 'C#', 'D', 'E', 'F#', 'G', 'A', 'B']",False,True,,3.0
bwv145.5.mxl,f#,0,A,3,"['F#', 'G#', 'A', 'B', 'C#', 'D', 'E', 'F#']",False,True,,6.0
bwv148.6.mxl,f#,0,A,3,"['F#', 'G#', 'A', 'B', 'C#', 'D', 'E', 'F#']",False,True,,6.0
bwv151.5.mxl,G,1,e,1,"['G', 'A', 'B', 'C', 'D', 'E', 'F#', 'G']",False,True,,5.0
bwv153.1.mxl,a,0,C,0,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'A']",False,True,,4.0
bwv153.5.mxl,a,0,C,0,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'A']",False,True,,4.0
bwv153.9.mxl,C,1,a,0,"['C', 'D', 'E', 'F', 'G', 'A', 'B', 'C']",False,True,,2.0
bwv154.3.mxl,A,1,f#,3,"['A', 'B', 'C#', 'D', 'E', 'F#', 'G#', 'A']",False,True,,4.0
bwv154.8.mxl,D,1,b,2,"['D', 'E', 'F#', 'G', 'A', 'B', 'C#', 'D']",False,True,,1.0
bwv155.5.mxl,F,1,d,-1,"['F', 'G', 'A', 'B-', 'C', 'D', 'E', 'F']",False,True,,6.0
bwv156.6.mxl,C,1,a,0,"['C', 'D', 'E', 'F', 'G', 'A', 'B', 'C']",False,True,,2.0
bwv159.5.mxl,E-,1,c,-3,"['E-', 'F', 'G', 'A-', 'B-', 'C', 'D', 'E-']",True,True,1.0,7.0
bwv16.6.mxl,a,0,C,0,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'A']",False,True,,4.0
bwv164.6.mxl,B-,1,g,-2,"['B-', 'C', 'D', 'E-', 'F', 'G', 'A', 'B-']",True,True,4.0,3.0
bwv166.6.mxl,g,0,B-,-2,"['G', 'A', 'B-', 'C', 'D', 'E-', 'F', 'G']",True,True,6.0,5.0
bwv168.6.mxl,b,0,D,2,"['B', 'C#', 'D', 'E', 'F#', 'G', 'A', 'B']",False,True,,3.0
bwv169.7.mxl,A,1,f#,3,"['A', 'B', 'C#', 'D', 'E', 'F#', 'G#', 'A']",False,True,,4.0
bwv17.7.mxl,A,1,f#,3,"['A', 'B', 'C#', 'D', 'E', 'F#', 'G#', 'A']",False,True,,4.0
bwv174.5.mxl,b,0,D,2,"['B', 'C#', 'D', 'E', 'F#', 'G', 'A', 'B']",False,True,,3.0
bwv176.6.mxl,f,0,A-,-4,"['F', 'G', 'A-', 'B-', 'C', 'D-', 'E-', 'F']",True,False,7.0,
bwv177.4.mxl,G,1,e,1,"['G', 'A', 'B', 'C', 'D', 'E', 'F#', 'G']",False,True,,5.0
bwv177.5.mxl,g,0,B-,-2,"['G', 'A', 'B-', 'C', 'D', 'E-', 'F', 'G']",True,True,6.0,5.0
bwv179.6.mxl,a,0,C,0,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'A']",False,True,,4.0
